pricingGroupTitle,pricingItemTitle,ruleProfileTitle,ruleID,groupID,calculationStrategy,quantityBasis,unitLabel,whatThisBucketCovers,scopeInputsUsed,currentConfigSlots,currentScheduleInputs,whenBucketAppears
Site Readiness and Coordination,Site Conditions Review,Site Review Scope Complexity,site_review.scope_complexity,site-readiness-and-coordination,lookupOnly,Per Scope Review,scope,"Existing conditions, utilities, attachment conditions, and setup complexity.","House stories; exterior finish; existing structure; obstacles notes; utilities notes; house wall material; house mounting type; mount condition","feeAmount; markupPercent","complexity_tier; crew_visit_hours","When any site-condition or attachment-complexity inputs are meaningful."
Site Readiness and Coordination,Document Verification and Layout,Document Review Tier,documents.review_tier,site-readiness-and-coordination,lookupOnly,Supporting Document Count,document,"Survey, irrigation, and supporting document review before drafting/layout.","Irrigation document; property survey document; additional document count; additional document names","feeAmount; markupPercent",document_review_tier,"When any supporting documents are present."
Base Structure,Frame and Roof Package,Structure Base Package,structure.base_package,base-structure,quantityTimesRate,Footprint Area,sq ft,"Core structure package driven by dimensions and structural selections.","Project type; width; projection; roof style; frame material; roof system; attachment type","draftUnitCost; draftUnitPrice; markupPercent","material_factor; lead_time_weeks","When project type/dimensions/structural selections are meaningful."
Base Structure,Attachment and Support Package,Attachment and Support Conditions,structure.attachment_support_conditions,base-structure,lookupOnly,Perimeter,lf,"Attachment, support posts, mounting, and fastener conditions.","House wall material; house mounting type; post or column material; post size; post spacing; mount condition; fastener plan","draftUnitCost; draftUnitPrice; feeAmount; markupPercent",mount_condition_table,"When attachment/support selections are meaningful."
Enclosure Options,Screen / Wall Package,Screen / Wall Selection,enclosure.screen_wall_selection,enclosure-options,lookupOnly,Perimeter,lf,"Screen wall and enclosure selections independent of final vendor catalog.","Enclosure type; screen wall type; screen tint; screen frame size; screen frame color","draftUnitCost; draftUnitPrice; markupPercent",product_family,"When enclosure/screen selections are meaningful."
Enclosure Options,Window System Package,Window System Selection,windows.system_selection,enclosure-options,quantityTimesRate,Window Bays,bay,"Window/glass configuration captured separately from proposal wording.","Window type; window frame system; glass type; glass safety; grid option; window operation; window color; window height; number of bays; window configuration","draftUnitCost; draftUnitPrice; markupPercent","glass_modifier_table; bay_lead_time_weeks","When window selections and bay count/configuration are meaningful."
Enclosure Options,Knee Wall Package,Knee Wall Selection,knee_wall.selection,enclosure-options,allowance,Knee Wall Linear Footage,lf,"Knee wall selections kept as an allowance until final formulas are known.","Knee wall option; panel height; panel color; linear footage; wall height; framing","allowanceAmount; markupPercent",wall_buildup_schedule,"When knee wall inputs are meaningful."
Enclosure Options,Door Package,Door Package Selection,doors.package_selection,enclosure-options,manualAmount,Per Door Package,door,"Door selections kept separate so vendor/product naming swaps stay centralized.","Door type; style; operable side; hinge side; width; height; color; dimensions","draftUnitCost; draftUnitPrice; feeAmount; markupPercent",door_family,"When door selections are meaningful."
Electrical and Drainage,Electrical Package,Electrical Scope Package,electrical.scope_package,electrical-drainage,lookupOnly,Outlet Count,outlet,"Outlets, lighting, fans, switches, and dedicated circuits.","Outlet count; lighting; fan install; switch locations; dedicated circuits","draftUnitCost; draftUnitPrice; feeAmount; markupPercent",circuit_adder_table,"When any electrical selections are meaningful."
Electrical and Drainage,Drainage Package,Drainage Scope Package,drainage.scope_package,electrical-drainage,manualAmount,Per Drainage Package,package,"Gutters, downspouts, tie-ins, and slope considerations.","Gutters; downspout locations; drain tie-in; slope notes","feeAmount; markupPercent",drainage_package_type,"When any drainage selections are meaningful."
"Finishes, Permits, and Closeout",Finish Package,Finish Scope Package,finishes.scope_package,finishes-permits-and-closeout,manualAmount,Per Finish Package,package,"Trim, color, sealing, and siding-related scope.","Trim type; finish color; siding replacement required; caulking or sealing notes","feeAmount; markupPercent",finish_system,"When any finish selections are meaningful."
"Finishes, Permits, and Closeout",Permit and Engineering Allowance,Permit and Engineering Requirements,permits.requirements,finishes-permits-and-closeout,allowance,Per Permit / Engineering Package,package,"Permit, HOA, and engineering decisions separated from proposal wording.","Permit required; jurisdiction; HOA approval required; engineering required","allowanceAmount; feeAmount; markupPercent",jurisdiction_schedule,"When any permit/HOA/engineering inputs are meaningful."
"Finishes, Permits, and Closeout",Project Coordination and Closeout,Project Coordination and Closeout,closeout.coordination,finishes-permits-and-closeout,lookupOnly,Supporting Artifact Count,artifact,"Production timing, customer approval, photos, sketches, and closeout artifacts.","Production start date; crew lead; duration estimate; material order status; permit status; customer options confirmed; signed date; photo count; sketch count","feeAmount; markupPercent",closeout_hours,"When any production or closeout inputs are meaningful."
