fillStatus,pricingGroupTitle,pricingItemTitle,businessLabel,whatToEnter,ruleID,groupID,valueKind,scheduleInputKey,expectedValueType,unitLabel,currentDraftBaseline,businessNumericValue,businessTextValue,businessNotes
TODO,Site Readiness and Coordination,Site Conditions Review,Site review fee,"Flat site review fee for a standard scope review before markup.",site_review.scope_complexity,site-readiness-and-coordination,feeAmount,,currency,,275,,,
TODO,Site Readiness and Coordination,Site Conditions Review,Site review markup percent,"Markup percent applied to the site review bucket.",site_review.scope_complexity,site-readiness-and-coordination,markupPercent,,percent,%,18,,,
TODO,Site Readiness and Coordination,Site Conditions Review,Complexity tier key,"Text key for the site-review tier or lookup bucket name.",site_review.scope_complexity,site-readiness-and-coordination,scheduleInput,complexity_tier,text,,standard_review,,,
TODO,Site Readiness and Coordination,Site Conditions Review,Crew visit hours,"Typical crew/site-visit hours used for this review bucket.",site_review.scope_complexity,site-readiness-and-coordination,scheduleInput,crew_visit_hours,number,hrs,2,,,
TODO,Site Readiness and Coordination,Document Verification and Layout,Document review fee,"Flat document review/layout fee before markup.",documents.review_tier,site-readiness-and-coordination,feeAmount,,currency,,185,,,
TODO,Site Readiness and Coordination,Document Verification and Layout,Document review markup percent,"Markup percent applied to the document review bucket.",documents.review_tier,site-readiness-and-coordination,markupPercent,,percent,%,15,,,
TODO,Site Readiness and Coordination,Document Verification and Layout,Document review tier key,"Text key for the document-count or review-tier schedule.",documents.review_tier,site-readiness-and-coordination,scheduleInput,document_review_tier,text,,up_to_three_docs,,,
TODO,Base Structure,Frame and Roof Package,Structure base unit cost,"Internal unit cost per square foot for the frame/roof package.",structure.base_package,base-structure,draftUnitCost,,currency,sq ft,24,,,
TODO,Base Structure,Frame and Roof Package,Structure base unit price,"Sell price per square foot for the frame/roof package.",structure.base_package,base-structure,draftUnitPrice,,currency,sq ft,36,,,
TODO,Base Structure,Frame and Roof Package,Structure base markup percent,"Markup percent applied to the structure base package.",structure.base_package,base-structure,markupPercent,,percent,%,33,,,
TODO,Base Structure,Frame and Roof Package,Material factor,"Numeric multiplier or factor used for supplier/material adjustments.",structure.base_package,base-structure,scheduleInput,material_factor,number,multiplier,1,,,
